"filename","dynamics_rms_Mean","dynamics_rms_Std","dynamics_rms_Slope","dynamics_lowenergy_Mean","rhythm_attack_time_Mean","rhythm_attack_time_Std","rhythm_attack_time_Slope","articulation_eventdensity_Mean","rhythm_fluctuation_peak_PeakMagMean","rhythm_tempo_Mean","rhythm_tempo_Std","rhythm_pulseclarity_Mean","rhythm_pulseclarity_Std","timbre_centroid_Mean","timbre_centroid_Std","timbre_roughness_Mean","timbre_irregularity_Mean","timbre_irregularity_Std","timbre_spectralflux_Std","pitch_salient_Mean","pitch_salient_Std","pitch_chromagram_centroid_Mean","pitch_chromagram_centroid_Std","tonal_keyclarity_Mean","tonal_keyclarity_Std","tonal_mode_Mean","tonal_mode_Std","tonal_hcdf_Mean","tonal_spectentr_Mean","structure_novelty_SPE_Mean","structure_novelty_RHY_Mean","structure_novelty_TON_Mean","structure_novelty_REG_Mean"
"Ambient_HIGH_08.mp3",0.11176,0.025994,0.280601,0.076857,0.020439,0.024014,-0.239118,4.536721,645.742591,106.218863,30.873599,0.369428,0.124988,661.419903,153.847341,2.481584,0.775647,0.324581,9.328429,349.895284,176.418796,62.053571,3.53349,0.784468,0.069371,0.040634,0.179053,0.904682,0.96032,0.990354,1.165646,0.763588,0.982303
"Ambient_HIGH_09.mp3",0.061234,0.022893,1.931073,0.22801,0.016259,0.013404,0.381941,5.8008,355.359268,109.290179,32.125628,0.169437,0.081658,485.934707,117.179788,0.59372,0.676583,0.380282,7.811373,233.62854,147.206697,58.491785,4.452723,0.680946,0.097635,-0.072498,0.14347,0.576568,0.980724,1.26393,1.519833,1.482899,1.557279
"Ambient_HIGH_10.mp3",0.066994,0.035362,0.624451,0.422547,0.015548,0.012224,-0.268381,5.739655,292.659348,120.514207,41.097725,0.254021,0.096489,505.660132,100.316125,1.728004,0.577347,0.287751,4.314959,476.232014,158.69976,59.488583,3.28187,0.778335,0.05162,0.07581,0.059669,0.495196,0.900658,0.99516,1.497761,0.807539,0.914645
"Ambient_HIGH_11.mp3",0.117674,0.02683,1.781224,0.122673,0.014303,0.012615,0.161457,6.658343,297.324104,121.029482,29.650477,0.203134,0.053647,430.230334,72.133414,2.883006,0.367924,0.193808,4.030538,151.55382,107.294151,56.040362,3.448065,0.766906,0.051387,-0.116705,0.146746,0.229186,0.925835,1.045386,1.567459,0.964229,1.040926
"Ambient_HIGH_12.mp3",0.080056,0.031469,1.413209,0.322363,0.038373,0.034241,-0.193924,5.020699,1342.254829,125.956842,24.896088,0.334078,0.125539,1101.372301,121.303084,2.527076,0.840004,0.346788,9.814806,623.614222,322.888013,71.643008,2.726387,0.820533,0.081276,-0.12384,0.152503,0.706396,0.966215,1.040747,1.379163,1.064846,1.242368
"Ambient_HIGH_13.mp3",0.029287,0.027712,2.093904,0.637437,0.016741,0.016973,0.05832,5.96016,777.575558,114.412714,25.338111,0.090583,0.150326,544.002726,78.094026,0.685448,0.414589,0.33545,4.904413,247.617891,131.556527,62.098454,1.842492,0.740043,0.091022,0.010499,0.184926,1.374942,0.96928,0.992203,0.987462,0.796837,1.087783
"Ambient_HIGH_14.mp3",0.107352,0.065644,2.741132,0.395178,0.016074,0.015005,-0.377238,6.827507,641.716614,131.91339,44.382238,0.212034,0.081416,501.729088,124.381989,3.799997,0.406695,0.251646,8.869108,322.243162,219.077433,60.093392,4.418444,0.570824,0.092408,0.041142,0.097045,0.755231,0.968588,0.977296,1.122401,0.8701,1.002722
"Ambient_LOW_15.mp3",0.143862,0.064334,0.599409,0.358953,0.026628,0.023838,-0.099295,0.944763,281.737887,139.092861,27.294286,0.171207,0.069564,1032.082172,289.783073,3.46441,0.645208,0.279593,10.610305,253.129804,205.859884,63.638434,2.845718,0.886437,0.032578,0.017715,0.254965,0.668154,0.967111,1.36469,1.833805,0.857508,1.323938
"Ambient_LOW_16.mp3",0.019218,0.008076,0.360624,0.320657,0.029127,0.036045,-0.071769,3.659522,729.337137,106.03345,36.91684,0.181242,0.085913,972.189311,124.529332,0.529611,0.768327,0.363832,1.274632,663.62883,182.591252,61.767586,2.598084,0.806326,0.033263,-0.153998,0.078136,0.537801,0.973675,0.914502,1.170399,0.688363,1.037165
"Ambient_LOW_17.mp3",0.070214,0.020227,0.312615,0.176174,0.038113,0.028442,-0.140112,5.059045,1130.215276,128.913227,28.431133,0.240772,0.079261,1551.106071,689.217167,2.435016,0.505062,0.278895,7.423442,437.940564,256.205357,59.756116,2.661435,0.81731,0.06629,-0.225738,0.080922,0.978881,0.989855,0.862758,1.168149,1.00442,1.07528
"Ambient_LOW_18.mp3",0.071111,0.071837,-0.275284,0.631402,0.023315,0.023402,-0.032029,2.280543,808.635742,113.625112,33.563494,0.117964,0.101853,1341.723285,847.546296,0.1764,0.455005,0.355339,9.085806,443.187487,207.390591,61.655291,4.97762,0.497264,0.133596,-0.026376,0.082974,0.758493,0.916595,1.51978,1.648125,1.085432,1.346279
"Ambient_LOW_19.mp3",0.174204,0.175518,1.133242,0.641944,0.044521,0.065303,0.030165,2.962565,2276.114411,121.666997,13.697434,0.490496,0.256202,665.33074,357.679912,0.799975,0.297564,0.333286,47.835172,242.785721,243.650485,55.001522,2.078091,0.650873,0.115137,-0.083993,0.114392,0.770351,0.986097,1.710514,1.35675,1.544916,1.619357
"Ambient_LOW_20.mp3",0.062736,0.030928,-0.113572,0.407906,0.022419,0.020612,0.259413,2.418758,715.877701,140.05239,11.59966,0.214262,0.076233,616.826011,145.884237,1.00433,0.753812,0.424507,7.143395,416.917371,53.286316,65.442582,1.781136,0.512949,0.069121,-0.067303,0.081967,0.989,0.981249,1.09526,1.310338,1.085765,1.2126
"Ambient_LOW_21.mp3",0.026742,0.017119,1.537115,0.40529,0.035941,0.113761,-0.031058,1.84009,375.150318,139.299894,27.558432,0.207601,0.076182,1479.348997,342.098165,0.570372,0.65813,0.438769,2.777099,345.001985,184.824985,64.129034,3.266573,0.704205,0.076442,-0.057703,0.115065,0.607768,0.952638,1.137566,1.309006,1.035402,1.275452
"Ambient_MED_01.mp3",0.051184,0.04035,0.514127,0.518892,0.035672,0.041982,0.173362,4.628161,3789.908075,145.337923,13.360697,0.335974,0.160543,869.079866,488.054351,1.019409,0.438111,0.463858,11.569685,401.498639,262.512931,59.993274,3.915029,0.72361,0.098683,0.071882,0.102722,1.102088,0.989618,1.386423,1.145679,1.464238,1.555931
"Ambient_MED_02.mp3",0.054319,0.026152,0.470762,0.420742,0.014722,0.012826,-0.025428,7.610148,403.942727,128.063389,36.216265,0.230957,0.069697,460.668496,76.438632,0.747596,0.842143,0.449671,4.76689,260.909764,57.177554,57.514979,1.844173,0.679829,0.123071,0.101659,0.133842,0.540369,0.939841,1.026443,1.460935,0.916528,1.072218
"Ambient_MED_03.mp3",0.040152,0.023181,1.575235,0.450319,0.019775,0.017993,0.144173,3.422895,287.72093,118.654857,28.42487,0.16775,0.121877,833.707191,109.972734,1.497218,0.573728,0.270093,3.792098,336.364251,159.818776,66.153732,1.95087,0.787811,0.088497,0.094134,0.134335,0.565994,0.961359,0.974142,1.40191,0.999095,1.36099
"Ambient_MED_04.mp3",0.105401,0.073974,1.593843,0.559564,0.026868,0.032024,0.323015,3.016338,1435.944084,133.930169,22.814741,0.265256,0.109299,785.283471,770.935258,2.111316,0.418207,0.257415,26.583529,278.778992,98.499307,59.420955,3.125566,0.720561,0.122161,-0.02021,0.111862,1.277713,0.991897,1.254201,1.253905,1.376241,1.448373
"Ambient_MED_05.mp3",0.038797,0.011771,1.039318,0.192275,0.013755,0.01073,0.125218,7.847751,461.729188,131.46631,33.892121,0.186747,0.05438,411.910868,78.310269,0.72601,0.59913,0.343527,2.90627,211.075586,68.443001,56.788318,1.122458,0.794452,0.074609,0.04197,0.192758,0.559169,0.955644,1.248336,1.859437,1.269377,1.352735
